time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-19T10:42:17.990Z,-8.2623,116.6518,19.06,4.7,mb,,64,2.482,0.95,us,us1000gd72,2018-08-25T06:09:21.702Z,"5km NNE of Belanting, Indonesia",earthquake,7.2,4.2,0.126,19,reviewed,us,us
2018-08-19T09:50:14.070Z,-8.338,116.7621,35,4.7,mb,,68,2.585,1.06,us,us1000gd6k,2018-08-25T06:02:18.908Z,"9km ENE of Sambelia, Indonesia",earthquake,8.1,2,0.115,23,reviewed,us,us
2018-08-19T04:10:21.570Z,-8.3246,116.5765,7.91,6.3,mww,,27,2.403,1.12,us,us1000gcvr,2018-08-24T15:41:50.849Z,"6km NE of Sembalunlawang, Indonesia",earthquake,6.3,4.2,0.078,16,reviewed,us,us
2018-08-19T04:06:13.080Z,-8.4009,116.5998,10,5.4,mb,,41,2.422,0.59,us,us1000gcvp,2018-08-24T15:44:55.486Z,"6km ESE of Sembalunbumbung, Indonesia",earthquake,6.8,1.9,0.086,46,reviewed,us,us
2018-08-18T20:12:58.310Z,-8.3334,116.0745,24,3.8,mb,,134,1.906,1.04,us,us1000gdlk,2018-08-20T00:24:03.198Z,"8km WNW of Prawira, Indonesia",earthquake,8.4,12.2,0.208,6,reviewed,us,us
2018-08-15T09:04:09.090Z,-8.2754,116.516,10,4.5,mb,,77,2.347,0.39,us,us1000g9l5,2018-08-24T15:44:20.532Z,"3km WSW of Obelobel, Indonesia",earthquake,7.9,1.9,0.221,6,reviewed,us,us
2018-08-13T01:42:21.880Z,-8.365,116.2402,10,4.6,mb,,62,2.068,0.84,us,us1000g7lr,2018-08-20T23:27:03.367Z,"6km E of Todo, Indonesia",earthquake,5.8,1.9,0.164,11,reviewed,us,us
2018-08-11T15:42:08.030Z,-8.2534,116.3502,10,4.4,mb,,76,2.185,1.34,us,us1000g7k3,2018-08-26T14:47:35.977Z,"3km SSE of Akarakar, Indonesia",earthquake,8.9,1.9,0.155,12,reviewed,us,us
2018-08-10T15:57:38.150Z,-8.0879,116.4287,10,4.8,mb,,64,2.285,1.21,us,us1000g6f2,2018-08-26T14:06:57.040Z,"15km N of Anyar, Indonesia",earthquake,6.7,1.7,0.102,30,reviewed,us,us
2018-08-09T20:55:23.660Z,-8.3192,116.1937,10,4.2,mb,,78,2.025,0.67,us,us1000g91p,2018-08-28T20:08:49.040Z,"4km NE of Tanahsong Daya, Indonesia",earthquake,7.3,1.9,0.147,13,reviewed,us,us
2018-08-09T20:33:05.030Z,-8.3405,116.6074,18.85,4.6,mb,,81,2.432,0.66,us,us1000g62q,2018-08-27T21:43:00.932Z,"4km SSW of Belanting, Indonesia",earthquake,5.7,5.6,0.107,26,reviewed,us,us
2018-08-09T05:25:31.910Z,-8.3939,116.2078,10,5.9,mww,,14,2.035,1.43,us,us1000g5n1,2018-08-28T16:40:30.027Z,"3km SE of Todo, Indonesia",earthquake,5.8,1.7,0.073,18,reviewed,us,us
2018-08-08T02:10:56.120Z,-8.4073,116.1125,35,4.6,mb,,63,1.94,1.38,us,us1000g563,2018-08-17T03:17:23.885Z,"1km SE of Pemenang, Indonesia",earthquake,6.9,2,0.122,20,reviewed,us,us
2018-08-07T14:04:41.120Z,-8.2297,116.1569,35,4.4,mb,,123,1.998,0.58,us,us1000g6e4,2018-08-14T13:24:52.040Z,"11km WNW of Lokokrangan, Indonesia",earthquake,9.3,2,0.161,11,reviewed,us,us
2018-08-07T06:01:13.730Z,-8.404,116.006,35,4.5,mb,,74,1.835,0.95,us,us1000g50h,2018-08-17T03:17:46.207Z,"10km W of Karangsubagan, Indonesia",earthquake,8.5,2,0.127,18,reviewed,us,us
2018-08-06T20:28:23.680Z,-8.2584,116.2076,10,4.3,mb,,84,2.044,0.59,us,us1000g6ch,2018-08-22T12:51:55.040Z,"5km W of Lokokrangan, Indonesia",earthquake,5.6,1.9,0.153,12,reviewed,us,us
2018-08-06T18:36:55.760Z,-8.2366,116.3357,10,4.2,mb,,134,2.173,0.85,us,us1000g6cc,2018-08-20T19:51:33.040Z,"1km SSW of Akarakar, Indonesia",earthquake,4.8,2,0.167,10,reviewed,us,us
2018-08-06T18:32:58.850Z,-8.2215,116.2953,10,4.3,mb,,83,2.135,0.56,us,us1000g6cd,2018-08-20T20:08:27.040Z,"5km NE of Lokokrangan, Indonesia",earthquake,8.2,1.9,0.142,14,reviewed,us,us
2018-08-06T18:21:20.910Z,-8.2588,116.3604,35,5.4,mww,,37,2.195,0.96,us,us1000g496,2018-08-20T19:38:12.053Z,"4km SSE of Akarakar, Indonesia",earthquake,7.2,1.8,0.068,21,reviewed,us,us
2018-08-06T17:49:26.850Z,-8.3022,116.3676,10,4.2,mb,,78,2.198,1.18,us,us1000g6cb,2018-08-20T19:30:00.040Z,"7km WSW of Bayan, Indonesia",earthquake,7.7,1.9,0.159,11,reviewed,us,us
2018-08-06T15:50:56.760Z,-8.3952,116.0173,35,5.1,mww,,41,1.846,1.12,us,us1000g461,2018-08-21T14:56:57.199Z,"9km W of Pemenang, Indonesia",earthquake,7.1,1.9,0.073,18,reviewed,us,us
2018-08-06T15:22:11.990Z,-8.2729,116.4607,33.31,4.1,mb,,107,2.292,0.47,us,us1000g6c6,2018-08-13T20:12:52.040Z,"2km SE of Loloan, Indonesia",earthquake,8.8,6.2,0.174,9,reviewed,us,us
2018-08-06T01:53:44.800Z,-8.2384,116.3122,10,4.7,mb,,54,2.149,0.98,us,us1000g53v,2018-08-15T02:04:29.040Z,"3km WSW of Akarakar, Indonesia",earthquake,7.6,1.8,0.106,27,reviewed,us,us
2018-08-06T00:28:18.020Z,-8.3668,116.3062,10,5.3,mww,,29,2.133,0.75,us,us1000g3yg,2018-08-12T01:19:21.376Z,"5km SSE of Santong, Indonesia",earthquake,6.6,1.7,0.073,18,reviewed,us,us
