time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-11-04T14:59:53.640Z,-8.808,115.758,98.1,5,mb,79,28.2,,0.95,us,usp000jaax,2015-03-24T01:44:27.664Z,"Bali region, Indonesia",earthquake,,,,22,reviewed,us,us
2009-12-21T04:27:52.620Z,-8.524,116.808,146.7,4.5,mb,22,59.8,,1.18,us,usp000h580,2014-11-07T01:40:17.812Z,"Lombok region, Indonesia",earthquake,,12,,6,reviewed,us,us
2008-10-28T17:41:37.780Z,-8.433,116.245,55.8,4.8,mb,9,156.4,,0.38,us,usp000gm80,2014-11-07T01:37:33.181Z,"Lombok region, Indonesia",earthquake,,25.9,,2,reviewed,us,us
2008-06-06T18:57:21.150Z,-9.532,115.924,46.2,4.7,mb,22,154.3,,0.77,us,usp000g8r3,2014-11-07T01:36:15.539Z,"south of Bali, Indonesia",earthquake,,14.5,,9,reviewed,us,us
2008-05-26T11:13:21.620Z,-9.333,116.26,50.6,4.7,mb,43,53.4,,1.25,us,usp000g7u2,2014-11-07T01:36:06.535Z,"Lombok region, Indonesia",earthquake,,10,,9,reviewed,us,us
2007-10-04T14:28:35.690Z,-8.285,116.811,10,5.7,mwb,112,39.3,,1.19,us,usp000fpve,2017-04-26T18:07:11.228Z,"Lombok region, Indonesia",earthquake,,,,,reviewed,us,us
2005-10-02T17:02:46.230Z,-8.245,116.415,15,4.5,mb,17,119.8,,1.16,us,usp000e0rh,2014-11-07T01:27:15.843Z,"Lombok region, Indonesia",earthquake,,0,,2,reviewed,us,us
2005-09-12T13:34:51.950Z,-9.563,116.097,30,4.6,mb,14,137.1,,1.01,us,usp000dzah,2014-11-07T01:27:03.635Z,"Lombok region, Indonesia",earthquake,,,,4,reviewed,us,us
2005-09-11T12:48:50.480Z,-9.483,116.209,45.4,4.8,mb,55,71.3,,0.93,us,usp000dz8h,2014-11-07T01:27:03.379Z,"Lombok region, Indonesia",earthquake,,18.1,,23,reviewed,us,us
2005-02-02T14:00:49.260Z,-8.942,116.382,117.3,4.8,mb,35,61.3,,1.17,us,usp000dfdm,2014-11-07T01:24:54.808Z,"Lombok region, Indonesia",earthquake,,6.2,,26,reviewed,us,us
2004-05-01T17:41:27.220Z,-7.338,116.15,226.9,4.5,mb,13,143.7,,1.41,us,usp000cty2,2014-11-07T01:22:12.100Z,"Bali Sea",earthquake,,,,4,reviewed,us,us
2004-01-14T06:25:15.300Z,-7.852,115.886,255.2,4.7,mb,15,143.7,,1.07,us,usp000chvd,2014-11-07T01:21:04.050Z,"Bali Sea",earthquake,,27.8,,7,reviewed,us,us
2004-01-01T20:59:31.910Z,-8.31,115.788,44.5,5.8,mwb,119,40,,1.01,us,usp000cgss,2017-04-26T18:02:13.322Z,"Bali region, Indonesia",earthquake,,5,,,reviewed,us,us
2000-06-12T22:25:59.910Z,-9.589,115.983,61.2,4.6,mb,34,,,1.27,us,usp0009ug7,2014-11-07T01:10:22.078Z,"south of Bali, Indonesia",earthquake,,9.4,,10,reviewed,us,us
