time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-07-23T03:33:43.380Z,-5.6301,103.7242,40.67,4.7,mb,,206,1.475,0.4,us,us20009zx8,2017-10-14T00:19:35.040Z,"47km SW of Biha, Indonesia",earthquake,10.7,7.7,0.103,29,reviewed,us,us
2017-07-20T04:12:23.060Z,-8.9768,110.3985,57.92,4.7,mb,,53,1.064,0.78,us,us20009yc0,2017-10-11T01:03:58.040Z,"113km S of Pundong, Indonesia",earthquake,6.8,6.6,0.115,23,reviewed,us,us
2017-07-17T09:05:53.800Z,-9.7897,111.8698,40.39,4.7,mb,,115,2.291,1.33,us,us20009wwc,2017-10-11T01:03:50.040Z,"166km S of Tambakrejo, Indonesia",earthquake,4.7,9.2,0.12,21,reviewed,us,us
2017-07-13T14:30:32.670Z,-8.2566,119.3116,17.38,5.2,mb,,50,2.919,1.06,us,us20009vzb,2017-11-11T06:53:13.216Z,"37km ENE of Oitui, Indonesia",earthquake,6.5,3.2,0.065,77,reviewed,us,us
2017-07-13T09:30:16.810Z,-8.0313,107.0615,58.52,4.6,mb,,102,1.319,1.42,us,us20009y07,2017-10-06T23:56:16.040Z,"63km SSW of Cikamurang, Indonesia",earthquake,3,8.7,0.114,23,reviewed,us,us
2017-07-08T22:48:31.650Z,-7.4094,105.9824,8.54,5.2,mb,,25,3.069,1.15,us,us1000989m,2017-10-03T00:47:56.040Z,"50km W of Gunungbatu, Indonesia",earthquake,5.8,3.3,0.048,143,reviewed,us,us
2017-06-28T10:41:35.020Z,-6.5338,105.1342,36.76,4.5,mb,,142,3.06,0.45,us,us100096w2,2017-09-27T02:03:16.040Z,"57km WNW of Babakantonggoh, Indonesia",earthquake,4.7,11.3,0.15,13,reviewed,us,us
2017-06-23T14:34:54.770Z,-7.9806,117.6513,37.53,4.5,mb,,83,3.497,1.08,us,us1000958k,2017-08-23T16:35:43.040Z,"21km NW of Labuhankananga, Indonesia",earthquake,8.7,13.5,0.205,7,reviewed,us,us
2017-06-19T04:39:08.960Z,-7.5021,118.3251,570.65,4.7,mb,,50,2.849,1.04,us,us20009nix,2017-08-23T16:35:44.040Z,"87km NNW of Sampungu, Indonesia",earthquake,9.7,5.7,0.067,68,reviewed,us,us
2017-06-11T23:15:06.150Z,-8.3206,106.259,7,5.7,mww,,46,2.004,1.46,us,us20009lwc,2017-08-18T23:13:23.040Z,"109km SSW of Cibungur, Indonesia",earthquake,3.2,1.7,0.048,42,reviewed,us,us
2017-05-30T08:28:19.350Z,-5.5441,102.7462,47.1,5.3,mb,,35,1.194,0.93,us,us10008wd5,2017-08-15T02:26:47.040Z,"126km WSW of Kuripan, Indonesia",earthquake,6.7,5,0.058,99,reviewed,us,us
2017-05-30T03:47:16.350Z,-9.5619,107.1004,43.82,4.5,mb,,92,1.693,0.83,us,us20009ky5,2017-08-15T02:26:47.040Z,"182km ENE of Flying Fish Cove, Christmas Island",earthquake,6.6,8.5,0.181,9,reviewed,us,us
2017-05-26T04:15:00.000Z,-10.219,118.859,43.56,4.6,mb,,71,3.686,0.91,us,us10008vf0,2017-08-10T01:34:02.040Z,"63km SSW of Kahale, Indonesia",earthquake,7.9,9.2,0.095,33,reviewed,us,us
2017-05-24T16:44:53.570Z,-8.9692,111.9847,58.3,5.4,mb,,31,1.786,1.22,us,us10008uvz,2017-08-10T01:34:01.040Z,"74km SSW of Tambakrejo, Indonesia",earthquake,2.9,4.9,0.05,137,reviewed,us,us
2017-05-11T21:58:11.430Z,-8.3939,117.6714,168.87,4.6,mb,,62,3.482,0.86,us,us10008rpn,2017-08-01T23:02:30.040Z,"21km N of Labuhankuris, Indonesia",earthquake,5.5,7.6,0.103,28,reviewed,us,us
2017-05-11T08:51:34.870Z,-7.6724,107.0831,86.27,4.5,mb,,53,0.994,1.17,us,us10008rfv,2017-08-01T23:02:29.040Z,"25km S of Puncak, Indonesia",earthquake,5.9,7,0.108,25,reviewed,us,us
2017-05-10T17:46:42.340Z,-6.5868,106.5594,121.11,4.6,mb,,104,3.881,0.81,us,us10008srg,2017-08-01T23:02:27.040Z,"5km E of Sidoger Lebak, Indonesia",earthquake,9.4,7.1,0.095,33,reviewed,us,us
2017-05-05T11:25:11.950Z,-6.6822,105.1626,66.62,4.6,mb,,69,3.185,0.94,us,us10008pq0,2017-07-29T03:16:23.040Z,"51km W of Babakantonggoh, Indonesia",earthquake,8.4,7.5,0.076,51,reviewed,us,us
2017-05-05T02:53:33.730Z,-5.6564,110.0588,550.24,4.8,mb,,29,1.434,0.98,us,us10008pjm,2017-07-29T03:16:22.040Z,"116km NW of Batang, Indonesia",earthquake,9.1,5.4,0.053,109,reviewed,us,us
2017-05-05T01:49:33.010Z,-10.3323,118.8513,10,4.6,mb,,116,3.741,1.09,us,us10008pjh,2017-07-29T03:16:22.040Z,"75km SSW of Kahale, Indonesia",earthquake,4.1,1.9,0.128,18,reviewed,us,us
2017-05-04T22:13:49.440Z,-9.8718,107.5821,49.18,4.7,mb,,164,3.497,0.72,us,us10008ph8,2017-07-29T03:16:21.040Z,"217km ENE of Flying Fish Cove, Christmas Island",earthquake,10.5,5.5,0.074,56,reviewed,us,us
2017-05-02T20:02:50.260Z,-9.5045,111.8514,40.43,4.6,mb,,72,2.055,0.88,us,us10008nkc,2017-07-29T03:16:16.040Z,"135km SSW of Tambakrejo, Indonesia",earthquake,6.4,7.2,0.067,69,reviewed,us,us
2017-05-01T10:43:20.840Z,-9.539,111.836,40.31,4.8,mb,,101,2.072,1.33,us,us10008me9,2017-07-29T03:16:10.040Z,"139km SSW of Tambakrejo, Indonesia",earthquake,8.6,8.1,0.096,33,reviewed,us,us
2017-04-29T15:45:54.470Z,-9.6024,111.7727,10,4.9,mb,,101,2.084,0.86,us,us10008m0z,2017-07-21T02:32:12.040Z,"148km SSW of Tambakrejo, Indonesia",earthquake,8.1,1.8,0.087,41,reviewed,us,us
2017-04-29T14:30:04.080Z,-9.6529,111.7854,14.29,4.9,mb,,120,2.132,1.15,us,us10008m0t,2017-07-21T02:32:12.040Z,"153km SSW of Tambakrejo, Indonesia",earthquake,7.9,4.9,0.104,29,reviewed,us,us
2017-04-29T10:02:12.550Z,-9.6687,111.8495,10,5.5,mww,,39,2.182,0.84,us,us10008lzr,2017-07-21T02:32:11.040Z,"153km SSW of Tambakrejo, Indonesia",earthquake,6.9,1.8,0.052,36,reviewed,us,us
2017-04-27T07:03:13.120Z,-8.8121,112.4703,75.48,4.6,mb,,115,1.697,1.33,us,us10008l8g,2017-07-21T02:32:08.040Z,"52km SSW of Krajan Tambakrejo, Indonesia",earthquake,7.8,4.3,0.136,16,reviewed,us,us
2017-04-25T16:37:38.040Z,-7.1817,105.3162,35,4.7,mb,,154,3.656,0.95,us,us10008kr2,2017-07-21T02:32:06.040Z,"53km SW of Tugu Hilir, Indonesia",earthquake,8.9,1.9,0.079,49,reviewed,us,us
