time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-08T06:09:23.180Z,-8.9106,112.4585,75.48,5,mb,,70,1.73,1.54,us,us1000g57n,2018-08-09T05:50:04.533Z,"62km SSW of Krajan Tambakrejo, Indonesia",earthquake,7.9,7.8,0.089,40,reviewed,us,us
2018-08-08T02:10:56.120Z,-8.4073,116.1125,35,4.6,mb,,63,1.94,1.38,us,us1000g563,2018-08-17T03:17:23.885Z,"1km SE of Pemenang, Indonesia",earthquake,6.9,2,0.122,20,reviewed,us,us
2018-08-07T19:13:46.680Z,-8.91,106.6108,25.1,4.5,mb,,110,1.824,0.78,us,us1000g4zr,2018-08-08T17:08:19.092Z,"164km S of Tegalbuleud, Indonesia",earthquake,7.4,5.4,0.093,38,reviewed,us,us
2018-08-07T06:01:13.730Z,-8.404,116.006,35,4.5,mb,,74,1.835,0.95,us,us1000g50h,2018-08-17T03:17:46.207Z,"10km W of Karangsubagan, Indonesia",earthquake,8.5,2,0.127,18,reviewed,us,us
2018-08-06T18:21:20.910Z,-8.2588,116.3604,35,5.4,mww,,37,2.195,0.96,us,us1000g496,2018-08-20T19:38:12.053Z,"4km SSE of Akarakar, Indonesia",earthquake,7.2,1.8,0.068,21,reviewed,us,us
2018-08-06T15:50:56.760Z,-8.3952,116.0173,35,5.1,mww,,41,1.846,1.12,us,us1000g461,2018-08-21T14:56:57.199Z,"9km W of Pemenang, Indonesia",earthquake,7.1,1.9,0.073,18,reviewed,us,us
2018-08-06T12:06:25.230Z,-11.3772,118.2102,10,4.9,mb,,43,4.812,1.31,us,us1000g42x,2018-08-17T06:05:12.754Z,"210km SSW of Panenggoede, Indonesia",earthquake,7.5,1.9,0.076,54,reviewed,us,us
2018-08-06T01:53:44.800Z,-8.2384,116.3122,10,4.7,mb,,54,2.149,0.98,us,us1000g53v,2018-08-15T02:04:29.040Z,"3km WSW of Akarakar, Indonesia",earthquake,7.6,1.8,0.106,27,reviewed,us,us
2018-08-06T00:28:18.020Z,-8.3668,116.3062,10,5.3,mww,,29,2.133,0.75,us,us1000g3yg,2018-08-12T01:19:21.376Z,"5km SSE of Santong, Indonesia",earthquake,6.6,1.7,0.073,18,reviewed,us,us
2018-08-05T20:41:27.130Z,-8.2631,116.2181,10,4.6,mb,,54,2.054,1.04,us,us1000g3xb,2018-08-25T21:01:13.474Z,"4km WSW of Lokokrangan, Indonesia",earthquake,7.9,1.9,0.12,21,reviewed,us,us
